"release_year","variable","value","timestamp","script_name"
2020,"party people wake hands hit",0.0204065410645456,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2010,"miller birthday happy matter party",0.000593345051452562,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2011,"miller birthday happy matter party",0.00871943895221915,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2012,"miller birthday happy matter party",0.0152240843645007,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2013,"miller birthday happy matter party",0.0565362195943378,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2014,"miller birthday happy matter party",0.163949303865301,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2015,"miller birthday happy matter party",0.00710603208232563,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2016,"miller birthday happy matter party",0.000225467143103852,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2018,"miller birthday happy matter party",0.010078336450349,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2020,"miller birthday happy matter party",0.0390635752107542,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2010,"kids dream god feelin gonna",0.228214727833025,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2011,"kids dream god feelin gonna",0.117971345063934,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2012,"kids dream god feelin gonna",0.0561155815717874,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2013,"kids dream god feelin gonna",0.0471356712472928,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2014,"kids dream god feelin gonna",0.0402970416488911,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2015,"kids dream god feelin gonna",0.0895549194141672,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2016,"kids dream god feelin gonna",0.00735515291953595,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2018,"kids dream god feelin gonna",0.0754604140021059,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2020,"kids dream god feelin gonna",0.0543306487422326,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
