album_name_short,variable,value,K,alpha,run_id
Blue Slide Park,kid couple people team bitch smile day door music boy,0.19405817083265212,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Circles,kid couple people team bitch smile day door music boy,0.02137414483472046,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Faces,kid couple people team bitch smile day door music boy,0.06371912413798353,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
GO:OD AM,kid couple people team bitch smile day door music boy,0.10385862407803116,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
"I Love Life, Thank You",kid couple people team bitch smile day door music boy,0.4297146112519887,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
K.I.D.S.,kid couple people team bitch smile day door music boy,0.48372684466022986,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Macadelic,kid couple people team bitch smile day door music boy,0.11065152071469378,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Swimming,kid couple people team bitch smile day door music boy,0.03937524202342273,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
The Divine Feminine,kid couple people team bitch smile day door music boy,0.03220336272015538,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Watching Movies with the Sound Off,kid couple people team bitch smile day door music boy,0.14717567144875057,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Balloonerism,hand hat rome rich top bitch bad reason vacation card,0.17926005609696088,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Best Day Ever,hand hat rome rich top bitch bad reason vacation card,0.11055021475062636,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Blue Slide Park,hand hat rome rich top bitch bad reason vacation card,0.03359595891181462,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Circles,hand hat rome rich top bitch bad reason vacation card,0.12073344853358552,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Faces,hand hat rome rich top bitch bad reason vacation card,0.205648177469336,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
GO:OD AM,hand hat rome rich top bitch bad reason vacation card,0.14133992703788018,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
"I Love Life, Thank You",hand hat rome rich top bitch bad reason vacation card,0.00623744188355876,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
K.I.D.S.,hand hat rome rich top bitch bad reason vacation card,0.02105654546471008,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Macadelic,hand hat rome rich top bitch bad reason vacation card,0.14103914865679604,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Swimming,hand hat rome rich top bitch bad reason vacation card,0.0960967825477395,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
The Divine Feminine,hand hat rome rich top bitch bad reason vacation card,3.746590164516805e-4,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Watching Movies with the Sound Off,hand hat rome rich top bitch bad reason vacation card,0.05661430210078924,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Balloonerism,park birthday happy blue motherfucker rap rich alright head slide,0.07956176218475751,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Best Day Ever,park birthday happy blue motherfucker rap rich alright head slide,0.0211003196372808,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Blue Slide Park,park birthday happy blue motherfucker rap rich alright head slide,0.3372297327322246,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Circles,park birthday happy blue motherfucker rap rich alright head slide,9.430487064131852e-4,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Faces,park birthday happy blue motherfucker rap rich alright head slide,0.14982847246544664,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
GO:OD AM,park birthday happy blue motherfucker rap rich alright head slide,0.08913808182916014,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
"I Love Life, Thank You",park birthday happy blue motherfucker rap rich alright head slide,0.09204793102707212,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
K.I.D.S.,park birthday happy blue motherfucker rap rich alright head slide,0.00653617370158306,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Macadelic,park birthday happy blue motherfucker rap rich alright head slide,0.05448241111428638,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Swimming,park birthday happy blue motherfucker rap rich alright head slide,0.0125878861934216,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
The Divine Feminine,park birthday happy blue motherfucker rap rich alright head slide,3.746590164516805e-4,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Watching Movies with the Sound Off,park birthday happy blue motherfucker rap rich alright head slide,0.21656525770446627,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Balloonerism,tomorrow dream alright heart night eye truth lot free pain,0.5523781432706528,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
Best Day Ever,tomorrow dream alright heart night eye truth lot free pain,0.08404540645593185,6,0.02,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.02_20250311_152959
